comune,area,regione,sigla
Mello,Nord-ovest,Lombardia,SO
Mese,Nord-ovest,Lombardia,SO
Montagna in Valtellina,Nord-ovest,Lombardia,SO
Morbegno,Nord-ovest,Lombardia,SO
Novate Mezzola,Nord-ovest,Lombardia,SO
Pedesina,Nord-ovest,Lombardia,SO
Piantedo,Nord-ovest,Lombardia,SO
Piateda,Nord-ovest,Lombardia,SO
Piuro,Nord-ovest,Lombardia,SO
Poggiridenti,Nord-ovest,Lombardia,SO
Ponte in Valtellina,Nord-ovest,Lombardia,SO
Postalesio,Nord-ovest,Lombardia,SO
Prata Camportaccio,Nord-ovest,Lombardia,SO
Rasura,Nord-ovest,Lombardia,SO
Rogolo,Nord-ovest,Lombardia,SO
Samolaco,Nord-ovest,Lombardia,SO
San Giacomo Filippo,Nord-ovest,Lombardia,SO
Sernio,Nord-ovest,Lombardia,SO
Sondalo,Nord-ovest,Lombardia,SO
Sondrio,Nord-ovest,Lombardia,SO
Spriana,Nord-ovest,Lombardia,SO
Talamona,Nord-ovest,Lombardia,SO
Tartano,Nord-ovest,Lombardia,SO
Teglio,Nord-ovest,Lombardia,SO
Tirano,Nord-ovest,Lombardia,SO
Torre di Santa Maria,Nord-ovest,Lombardia,SO
Tovo di Sant'Agata,Nord-ovest,Lombardia,SO
Traona,Nord-ovest,Lombardia,SO
Tresivio,Nord-ovest,Lombardia,SO
Valdidentro,Nord-ovest,Lombardia,SO
Valdisotto,Nord-ovest,Lombardia,SO
Valfurva,Nord-ovest,Lombardia,SO
Val Masino,Nord-ovest,Lombardia,SO
Verceia,Nord-ovest,Lombardia,SO
Vervio,Nord-ovest,Lombardia,SO
Villa di Chiavenna,Nord-ovest,Lombardia,SO
Villa di Tirano,Nord-ovest,Lombardia,SO
Abbiategrasso,Nord-ovest,Lombardia,MI
Albairate,Nord-ovest,Lombardia,MI
Arconate,Nord-ovest,Lombardia,MI
Arese,Nord-ovest,Lombardia,MI
Arluno,Nord-ovest,Lombardia,MI
Assago,Nord-ovest,Lombardia,MI
Bareggio,Nord-ovest,Lombardia,MI
Basiano,Nord-ovest,Lombardia,MI
Basiglio,Nord-ovest,Lombardia,MI
Bellinzago Lombardo,Nord-ovest,Lombardia,MI
Bernate Ticino,Nord-ovest,Lombardia,MI
Besate,Nord-ovest,Lombardia,MI
Binasco,Nord-ovest,Lombardia,MI
Boffalora sopra Ticino,Nord-ovest,Lombardia,MI
Bollate,Nord-ovest,Lombardia,MI
Bresso,Nord-ovest,Lombardia,MI
Bubbiano,Nord-ovest,Lombardia,MI
Buccinasco,Nord-ovest,Lombardia,MI
Buscate,Nord-ovest,Lombardia,MI
Bussero,Nord-ovest,Lombardia,MI
Busto Garolfo,Nord-ovest,Lombardia,MI
Calvignasco,Nord-ovest,Lombardia,MI
Cambiago,Nord-ovest,Lombardia,MI
Canegrate,Nord-ovest,Lombardia,MI
Carpiano,Nord-ovest,Lombardia,MI
Carugate,Nord-ovest,Lombardia,MI
Casarile,Nord-ovest,Lombardia,MI
Casorezzo,Nord-ovest,Lombardia,MI
Cassano d'Adda,Nord-ovest,Lombardia,MI
Cassina de' Pecchi,Nord-ovest,Lombardia,MI
Cassinetta di Lugagnano,Nord-ovest,Lombardia,MI
Castano Primo,Nord-ovest,Lombardia,MI
Cernusco sul Naviglio,Nord-ovest,Lombardia,MI
Cerro al Lambro,Nord-ovest,Lombardia,MI
Cerro Maggiore,Nord-ovest,Lombardia,MI
Cesano Boscone,Nord-ovest,Lombardia,MI
Cesate,Nord-ovest,Lombardia,MI
Cinisello Balsamo,Nord-ovest,Lombardia,MI
Cisliano,Nord-ovest,Lombardia,MI
Cologno Monzese,Nord-ovest,Lombardia,MI
Colturano,Nord-ovest,Lombardia,MI
Corbetta,Nord-ovest,Lombardia,MI
Cormano,Nord-ovest,Lombardia,MI
Cornaredo,Nord-ovest,Lombardia,MI
Corsico,Nord-ovest,Lombardia,MI
Cuggiono,Nord-ovest,Lombardia,MI
Cusago,Nord-ovest,Lombardia,MI
Cusano Milanino,Nord-ovest,Lombardia,MI
Dairago,Nord-ovest,Lombardia,MI
Dresano,Nord-ovest,Lombardia,MI
Gaggiano,Nord-ovest,Lombardia,MI
Garbagnate Milanese,Nord-ovest,Lombardia,MI
Gessate,Nord-ovest,Lombardia,MI
Gorgonzola,Nord-ovest,Lombardia,MI
Grezzago,Nord-ovest,Lombardia,MI
Gudo Visconti,Nord-ovest,Lombardia,MI
Inveruno,Nord-ovest,Lombardia,MI
Inzago,Nord-ovest,Lombardia,MI
Lacchiarella,Nord-ovest,Lombardia,MI
Lainate,Nord-ovest,Lombardia,MI
Legnano,Nord-ovest,Lombardia,MI
Liscate,Nord-ovest,Lombardia,MI
Locate di Triulzi,Nord-ovest,Lombardia,MI
Magenta,Nord-ovest,Lombardia,MI
Magnago,Nord-ovest,Lombardia,MI
Marcallo con Casone,Nord-ovest,Lombardia,MI
Masate,Nord-ovest,Lombardia,MI
Mediglia,Nord-ovest,Lombardia,MI
Melegnano,Nord-ovest,Lombardia,MI
Melzo,Nord-ovest,Lombardia,MI
Mesero,Nord-ovest,Lombardia,MI
Milano,Nord-ovest,Lombardia,MI
Morimondo,Nord-ovest,Lombardia,MI
Motta Visconti,Nord-ovest,Lombardia,MI
Nerviano,Nord-ovest,Lombardia,MI
Nosate,Nord-ovest,Lombardia,MI
Novate Milanese,Nord-ovest,Lombardia,MI
Noviglio,Nord-ovest,Lombardia,MI
Opera,Nord-ovest,Lombardia,MI
Ossona,Nord-ovest,Lombardia,MI
Ozzero,Nord-ovest,Lombardia,MI
Paderno Dugnano,Nord-ovest,Lombardia,MI
Pantigliate,Nord-ovest,Lombardia,MI
Parabiago,Nord-ovest,Lombardia,MI
Paullo,Nord-ovest,Lombardia,MI
Pero,Nord-ovest,Lombardia,MI
Peschiera Borromeo,Nord-ovest,Lombardia,MI
Pessano con Bornago,Nord-ovest,Lombardia,MI
Pieve Emanuele,Nord-ovest,Lombardia,MI
Pioltello,Nord-ovest,Lombardia,MI
Pogliano Milanese,Nord-ovest,Lombardia,MI
Pozzo d'Adda,Nord-ovest,Lombardia,MI
Pozzuolo Martesana,Nord-ovest,Lombardia,MI
Pregnana Milanese,Nord-ovest,Lombardia,MI
Rescaldina,Nord-ovest,Lombardia,MI
Rho,Nord-ovest,Lombardia,MI
Robecchetto con Induno,Nord-ovest,Lombardia,MI
Robecco sul Naviglio,Nord-ovest,Lombardia,MI
Rodano,Nord-ovest,Lombardia,MI
Rosate,Nord-ovest,Lombardia,MI
Rozzano,Nord-ovest,Lombardia,MI
San Colombano al Lambro,Nord-ovest,Lombardia,MI
San Donato Milanese,Nord-ovest,Lombardia,MI
San Giorgio su Legnano,Nord-ovest,Lombardia,MI
San Giuliano Milanese,Nord-ovest,Lombardia,MI
Santo Stefano Ticino,Nord-ovest,Lombardia,MI
San Vittore Olona,Nord-ovest,Lombardia,MI
San Zenone al Lambro,Nord-ovest,Lombardia,MI
Sedriano,Nord-ovest,Lombardia,MI
Segrate,Nord-ovest,Lombardia,MI
Senago,Nord-ovest,Lombardia,MI
Sesto San Giovanni,Nord-ovest,Lombardia,MI
Settala,Nord-ovest,Lombardia,MI
Settimo Milanese,Nord-ovest,Lombardia,MI
Solaro,Nord-ovest,Lombardia,MI
Trezzano Rosa,Nord-ovest,Lombardia,MI
Trezzano sul Naviglio,Nord-ovest,Lombardia,MI
Trezzo sull'Adda,Nord-ovest,Lombardia,MI
Tribiano,Nord-ovest,Lombardia,MI
Truccazzano,Nord-ovest,Lombardia,MI
Turbigo,Nord-ovest,Lombardia,MI
Vanzago,Nord-ovest,Lombardia,MI
Vaprio d'Adda,Nord-ovest,Lombardia,MI
Vernate,Nord-ovest,Lombardia,MI
Vignate,Nord-ovest,Lombardia,MI
Vimodrone,Nord-ovest,Lombardia,MI
Vittuone,Nord-ovest,Lombardia,MI
Vizzolo Predabissi,Nord-ovest,Lombardia,MI
Zibido San Giacomo,Nord-ovest,Lombardia,MI
Villa Cortese,Nord-ovest,Lombardia,MI
Vanzaghello,Nord-ovest,Lombardia,MI
Baranzate,Nord-ovest,Lombardia,MI
Vermezzo con Zelo,Nord-ovest,Lombardia,MI
Adrara San Martino,Nord-ovest,Lombardia,BG
Adrara San Rocco,Nord-ovest,Lombardia,BG
Albano Sant'Alessandro,Nord-ovest,Lombardia,BG
Albino,Nord-ovest,Lombardia,BG
Almè,Nord-ovest,Lombardia,BG
Almenno San Bartolomeo,Nord-ovest,Lombardia,BG
Almenno San Salvatore,Nord-ovest,Lombardia,BG
Alzano Lombardo,Nord-ovest,Lombardia,BG
Ambivere,Nord-ovest,Lombardia,BG
Antegnate,Nord-ovest,Lombardia,BG
Arcene,Nord-ovest,Lombardia,BG
Ardesio,Nord-ovest,Lombardia,BG
Arzago d'Adda,Nord-ovest,Lombardia,BG
Averara,Nord-ovest,Lombardia,BG
Aviatico,Nord-ovest,Lombardia,BG
Azzano San Paolo,Nord-ovest,Lombardia,BG
Azzone,Nord-ovest,Lombardia,BG
Bagnatica,Nord-ovest,Lombardia,BG
Barbata,Nord-ovest,Lombardia,BG
Bariano,Nord-ovest,Lombardia,BG
Barzana,Nord-ovest,Lombardia,BG
Bedulita,Nord-ovest,Lombardia,BG
Berbenno,Nord-ovest,Lombardia,BG
Bergamo,Nord-ovest,Lombardia,BG
Berzo San Fermo,Nord-ovest,Lombardia,BG
Bianzano,Nord-ovest,Lombardia,BG
Blello,Nord-ovest,Lombardia,BG
Bolgare,Nord-ovest,Lombardia,BG
Boltiere,Nord-ovest,Lombardia,BG
Bonate Sopra,Nord-ovest,Lombardia,BG
Bonate Sotto,Nord-ovest,Lombardia,BG
Borgo di Terzo,Nord-ovest,Lombardia,BG
Bossico,Nord-ovest,Lombardia,BG
Bottanuco,Nord-ovest,Lombardia,BG
Bracca,Nord-ovest,Lombardia,BG
Branzi,Nord-ovest,Lombardia,BG
Brembate,Nord-ovest,Lombardia,BG
Brembate di Sopra,Nord-ovest,Lombardia,BG
Brignano Gera d'Adda,Nord-ovest,Lombardia,BG
Brumano,Nord-ovest,Lombardia,BG
Brusaporto,Nord-ovest,Lombardia,BG
Calcinate,Nord-ovest,Lombardia,BG
Calcio,Nord-ovest,Lombardia,BG
Calusco d'Adda,Nord-ovest,Lombardia,BG
Calvenzano,Nord-ovest,Lombardia,BG
Camerata Cornello,Nord-ovest,Lombardia,BG
Canonica d'Adda,Nord-ovest,Lombardia,BG
Capizzone,Nord-ovest,Lombardia,BG
Capriate San Gervasio,Nord-ovest,Lombardia,BG
Caprino Bergamasco,Nord-ovest,Lombardia,BG
Caravaggio,Nord-ovest,Lombardia,BG
Carobbio degli Angeli,Nord-ovest,Lombardia,BG
Carona,Nord-ovest,Lombardia,BG
Carvico,Nord-ovest,Lombardia,BG
Casazza,Nord-ovest,Lombardia,BG
Casirate d'Adda,Nord-ovest,Lombardia,BG
Casnigo,Nord-ovest,Lombardia,BG
Cassiglio,Nord-ovest,Lombardia,BG
Castelli Calepio,Nord-ovest,Lombardia,BG
Castel Rozzone,Nord-ovest,Lombardia,BG
Castione della Presolana,Nord-ovest,Lombardia,BG
Castro,Nord-ovest,Lombardia,BG
Cavernago,Nord-ovest,Lombardia,BG
Cazzano Sant'Andrea,Nord-ovest,Lombardia,BG
Cenate Sopra,Nord-ovest,Lombardia,BG
Cenate Sotto,Nord-ovest,Lombardia,BG
Cene,Nord-ovest,Lombardia,BG
Cerete,Nord-ovest,Lombardia,BG
Chignolo d'Isola,Nord-ovest,Lombardia,BG
Chiuduno,Nord-ovest,Lombardia,BG
Cisano Bergamasco,Nord-ovest,Lombardia,BG
Ciserano,Nord-ovest,Lombardia,BG
Cividate al Piano,Nord-ovest,Lombardia,BG
Clusone,Nord-ovest,Lombardia,BG
Colere,Nord-ovest,Lombardia,BG
Cologno al Serio,Nord-ovest,Lombardia,BG
Colzate,Nord-ovest,Lombardia,BG
Comun Nuovo,Nord-ovest,Lombardia,BG
Corna Imagna,Nord-ovest,Lombardia,BG
Cortenuova,Nord-ovest,Lombardia,BG
Costa di Mezzate,Nord-ovest,Lombardia,BG
Costa Valle Imagna,Nord-ovest,Lombardia,BG
Costa Volpino,Nord-ovest,Lombardia,BG
Covo,Nord-ovest,Lombardia,BG
Credaro,Nord-ovest,Lombardia,BG
Curno,Nord-ovest,Lombardia,BG
Cusio,Nord-ovest,Lombardia,BG
Dalmine,Nord-ovest,Lombardia,BG
Dossena,Nord-ovest,Lombardia,BG
Endine Gaiano,Nord-ovest,Lombardia,BG
Entratico,Nord-ovest,Lombardia,BG
Fara Gera d'Adda,Nord-ovest,Lombardia,BG
Fara Olivana con Sola,Nord-ovest,Lombardia,BG
Filago,Nord-ovest,Lombardia,BG
Fino del Monte,Nord-ovest,Lombardia,BG
Fiorano al Serio,Nord-ovest,Lombardia,BG
Fontanella,Nord-ovest,Lombardia,BG
Fonteno,Nord-ovest,Lombardia,BG
Foppolo,Nord-ovest,Lombardia,BG
Foresto Sparso,Nord-ovest,Lombardia,BG
Fornovo San Giovanni,Nord-ovest,Lombardia,BG
Fuipiano Valle Imagna,Nord-ovest,Lombardia,BG
Gandellino,Nord-ovest,Lombardia,BG
Gandino,Nord-ovest,Lombardia,BG
Gandosso,Nord-ovest,Lombardia,BG
Gaverina Terme,Nord-ovest,Lombardia,BG
Gazzaniga,Nord-ovest,Lombardia,BG
Ghisalba,Nord-ovest,Lombardia,BG
Gorlago,Nord-ovest,Lombardia,BG
Gorle,Nord-ovest,Lombardia,BG
Gorno,Nord-ovest,Lombardia,BG
Grassobbio,Nord-ovest,Lombardia,BG
Gromo,Nord-ovest,Lombardia,BG
Grone,Nord-ovest,Lombardia,BG
Grumello del Monte,Nord-ovest,Lombardia,BG
Isola di Fondra,Nord-ovest,Lombardia,BG
Isso,Nord-ovest,Lombardia,BG
Lallio,Nord-ovest,Lombardia,BG
Leffe,Nord-ovest,Lombardia,BG
Lenna,Nord-ovest,Lombardia,BG
Levate,Nord-ovest,Lombardia,BG
Locatello,Nord-ovest,Lombardia,BG
Lovere,Nord-ovest,Lombardia,BG
Lurano,Nord-ovest,Lombardia,BG
Luzzana,Nord-ovest,Lombardia,BG
Madone,Nord-ovest,Lombardia,BG
Mapello,Nord-ovest,Lombardia,BG
Martinengo,Nord-ovest,Lombardia,BG
Mezzoldo,Nord-ovest,Lombardia,BG
Misano di Gera d'Adda,Nord-ovest,Lombardia,BG
Moio de' Calvi,Nord-ovest,Lombardia,BG
Monasterolo del Castello,Nord-ovest,Lombardia,BG
Montello,Nord-ovest,Lombardia,BG
Morengo,Nord-ovest,Lombardia,BG
Mornico al Serio,Nord-ovest,Lombardia,BG
Mozzanica,Nord-ovest,Lombardia,BG
Mozzo,Nord-ovest,Lombardia,BG
Nembro,Nord-ovest,Lombardia,BG
Olmo al Brembo,Nord-ovest,Lombardia,BG
Oltre il Colle,Nord-ovest,Lombardia,BG
Oltressenda Alta,Nord-ovest,Lombardia,BG
Oneta,Nord-ovest,Lombardia,BG
Onore,Nord-ovest,Lombardia,BG
Orio al Serio,Nord-ovest,Lombardia,BG
Ornica,Nord-ovest,Lombardia,BG
Osio Sopra,Nord-ovest,Lombardia,BG
Osio Sotto,Nord-ovest,Lombardia,BG
Pagazzano,Nord-ovest,Lombardia,BG
Paladina,Nord-ovest,Lombardia,BG
Palazzago,Nord-ovest,Lombardia,BG
Palosco,Nord-ovest,Lombardia,BG
Parre,Nord-ovest,Lombardia,BG
Parzanica,Nord-ovest,Lombardia,BG
Pedrengo,Nord-ovest,Lombardia,BG
Peia,Nord-ovest,Lombardia,BG
Pianico,Nord-ovest,Lombardia,BG
Piario,Nord-ovest,Lombardia,BG
Piazza Brembana,Nord-ovest,Lombardia,BG
Piazzatorre,Nord-ovest,Lombardia,BG
Piazzolo,Nord-ovest,Lombardia,BG
Pognano,Nord-ovest,Lombardia,BG
Ponte Nossa,Nord-ovest,Lombardia,BG
Ponteranica,Nord-ovest,Lombardia,BG
Ponte San Pietro,Nord-ovest,Lombardia,BG
Pontida,Nord-ovest,Lombardia,BG
Pontirolo Nuovo,Nord-ovest,Lombardia,BG
Pradalunga,Nord-ovest,Lombardia,BG
Predore,Nord-ovest,Lombardia,BG
Premolo,Nord-ovest,Lombardia,BG
Presezzo,Nord-ovest,Lombardia,BG
Pumenengo,Nord-ovest,Lombardia,BG
Ranica,Nord-ovest,Lombardia,BG
Ranzanico,Nord-ovest,Lombardia,BG
Riva di Solto,Nord-ovest,Lombardia,BG
Rogno,Nord-ovest,Lombardia,BG
Romano di Lombardia,Nord-ovest,Lombardia,BG
Roncobello,Nord-ovest,Lombardia,BG
Roncola,Nord-ovest,Lombardia,BG
Rota d'Imagna,Nord-ovest,Lombardia,BG
Rovetta,Nord-ovest,Lombardia,BG
San Giovanni Bianco,Nord-ovest,Lombardia,BG
San Paolo d'Argon,Nord-ovest,Lombardia,BG
San Pellegrino Terme,Nord-ovest,Lombardia,BG
Santa Brigida,Nord-ovest,Lombardia,BG
Sarnico,Nord-ovest,Lombardia,BG
Scanzorosciate,Nord-ovest,Lombardia,BG
Schilpario,Nord-ovest,Lombardia,BG
Sedrina,Nord-ovest,Lombardia,BG
Selvino,Nord-ovest,Lombardia,BG
Seriate,Nord-ovest,Lombardia,BG
Serina,Nord-ovest,Lombardia,BG
Solto Collina,Nord-ovest,Lombardia,BG
Songavazzo,Nord-ovest,Lombardia,BG
Sorisole,Nord-ovest,Lombardia,BG
Sotto il Monte Giovanni XXIII,Nord-ovest,Lombardia,BG
Sovere,Nord-ovest,Lombardia,BG
Spinone al Lago,Nord-ovest,Lombardia,BG
Spirano,Nord-ovest,Lombardia,BG
Stezzano,Nord-ovest,Lombardia,BG
Strozza,Nord-ovest,Lombardia,BG
Suisio,Nord-ovest,Lombardia,BG
Taleggio,Nord-ovest,Lombardia,BG
Tavernola Bergamasca,Nord-ovest,Lombardia,BG
Telgate,Nord-ovest,Lombardia,BG
Terno d'Isola,Nord-ovest,Lombardia,BG
Torre Boldone,Nord-ovest,Lombardia,BG
Torre de' Busi,Nord-ovest,Lombardia,BG
Torre de' Roveri,Nord-ovest,Lombardia,BG
Torre Pallavicina,Nord-ovest,Lombardia,BG
Trescore Balneario,Nord-ovest,Lombardia,BG
Treviglio,Nord-ovest,Lombardia,BG
Treviolo,Nord-ovest,Lombardia,BG
Ubiale Clanezzo,Nord-ovest,Lombardia,BG
Urgnano,Nord-ovest,Lombardia,BG
Valbondione,Nord-ovest,Lombardia,BG
Valbrembo,Nord-ovest,Lombardia,BG
Valgoglio,Nord-ovest,Lombardia,BG
Valleve,Nord-ovest,Lombardia,BG
Valnegra,Nord-ovest,Lombardia,BG
Valtorta,Nord-ovest,Lombardia,BG
Vedeseta,Nord-ovest,Lombardia,BG
Verdellino,Nord-ovest,Lombardia,BG
Verdello,Nord-ovest,Lombardia,BG
Vertova,Nord-ovest,Lombardia,BG
Viadanica,Nord-ovest,Lombardia,BG
Vigano San Martino,Nord-ovest,Lombardia,BG
Vigolo,Nord-ovest,Lombardia,BG
Villa d'Adda,Nord-ovest,Lombardia,BG
Villa d'Almè,Nord-ovest,Lombardia,BG
Villa di Serio,Nord-ovest,Lombardia,BG
Villa d'Ogna,Nord-ovest,Lombardia,BG
Villongo,Nord-ovest,Lombardia,BG
Vilminore di Scalve,Nord-ovest,Lombardia,BG
Zandobbio,Nord-ovest,Lombardia,BG
Zanica,Nord-ovest,Lombardia,BG
Zogno,Nord-ovest,Lombardia,BG
Costa Serina,Nord-ovest,Lombardia,BG
Algua,Nord-ovest,Lombardia,BG
Cornalba,Nord-ovest,Lombardia,BG
Medolago,Nord-ovest,Lombardia,BG
Solza,Nord-ovest,Lombardia,BG
Sant'Omobono Terme,Nord-ovest,Lombardia,BG
Val Brembilla,Nord-ovest,Lombardia,BG
Acquafredda,Nord-ovest,Lombardia,BS
Adro,Nord-ovest,Lombardia,BS
Agnosine,Nord-ovest,Lombardia,BS
Alfianello,Nord-ovest,Lombardia,BS
Anfo,Nord-ovest,Lombardia,BS
Angolo Terme,Nord-ovest,Lombardia,BS
Artogne,Nord-ovest,Lombardia,BS
Azzano Mella,Nord-ovest,Lombardia,BS
Bagnolo Mella,Nord-ovest,Lombardia,BS
Bagolino,Nord-ovest,Lombardia,BS
Barbariga,Nord-ovest,Lombardia,BS
Barghe,Nord-ovest,Lombardia,BS
Bassano Bresciano,Nord-ovest,Lombardia,BS
Bedizzole,Nord-ovest,Lombardia,BS
Berlingo,Nord-ovest,Lombardia,BS
Berzo Demo,Nord-ovest,Lombardia,BS
Berzo Inferiore,Nord-ovest,Lombardia,BS
Bienno,Nord-ovest,Lombardia,BS
Bione,Nord-ovest,Lombardia,BS
Borgo San Giacomo,Nord-ovest,Lombardia,BS
Borgosatollo,Nord-ovest,Lombardia,BS
Borno,Nord-ovest,Lombardia,BS
Botticino,Nord-ovest,Lombardia,BS
Bovegno,Nord-ovest,Lombardia,BS
Bovezzo,Nord-ovest,Lombardia,BS
Brandico,Nord-ovest,Lombardia,BS
Braone,Nord-ovest,Lombardia,BS
Breno,Nord-ovest,Lombardia,BS
Brescia,Nord-ovest,Lombardia,BS
Brione,Nord-ovest,Lombardia,BS
Caino,Nord-ovest,Lombardia,BS
Calcinato,Nord-ovest,Lombardia,BS
Calvagese della Riviera,Nord-ovest,Lombardia,BS
Calvisano,Nord-ovest,Lombardia,BS
Capo di Ponte,Nord-ovest,Lombardia,BS
Capovalle,Nord-ovest,Lombardia,BS
Capriano del Colle,Nord-ovest,Lombardia,BS
Capriolo,Nord-ovest,Lombardia,BS
Carpenedolo,Nord-ovest,Lombardia,BS
Castegnato,Nord-ovest,Lombardia,BS
Castelcovati,Nord-ovest,Lombardia,BS
Castel Mella,Nord-ovest,Lombardia,BS
Castenedolo,Nord-ovest,Lombardia,BS
Casto,Nord-ovest,Lombardia,BS
Castrezzato,Nord-ovest,Lombardia,BS
Cazzago San Martino,Nord-ovest,Lombardia,BS
Cedegolo,Nord-ovest,Lombardia,BS
Cellatica,Nord-ovest,Lombardia,BS
Cerveno,Nord-ovest,Lombardia,BS
Ceto,Nord-ovest,Lombardia,BS
Cevo,Nord-ovest,Lombardia,BS
Chiari,Nord-ovest,Lombardia,BS
Cigole,Nord-ovest,Lombardia,BS
Cimbergo,Nord-ovest,Lombardia,BS
Cividate Camuno,Nord-ovest,Lombardia,BS
Coccaglio,Nord-ovest,Lombardia,BS
Collebeato,Nord-ovest,Lombardia,BS
Collio,Nord-ovest,Lombardia,BS
Cologne,Nord-ovest,Lombardia,BS
Comezzano-Cizzago,Nord-ovest,Lombardia,BS
Concesio,Nord-ovest,Lombardia,BS
Corte Franca,Nord-ovest,Lombardia,BS
Corteno Golgi,Nord-ovest,Lombardia,BS
Corzano,Nord-ovest,Lombardia,BS
Darfo Boario Terme,Nord-ovest,Lombardia,BS
Dello,Nord-ovest,Lombardia,BS
Desenzano del Garda,Nord-ovest,Lombardia,BS
Edolo,Nord-ovest,Lombardia,BS
Erbusco,Nord-ovest,Lombardia,BS
Esine,Nord-ovest,Lombardia,BS
Fiesse,Nord-ovest,Lombardia,BS
Flero,Nord-ovest,Lombardia,BS
Gambara,Nord-ovest,Lombardia,BS
Gardone Riviera,Nord-ovest,Lombardia,BS
Gardone Val Trompia,Nord-ovest,Lombardia,BS
Gargnano,Nord-ovest,Lombardia,BS
Gavardo,Nord-ovest,Lombardia,BS
Ghedi,Nord-ovest,Lombardia,BS
Gianico,Nord-ovest,Lombardia,BS
Gottolengo,Nord-ovest,Lombardia,BS
Gussago,Nord-ovest,Lombardia,BS
Idro,Nord-ovest,Lombardia,BS
Incudine,Nord-ovest,Lombardia,BS
Irma,Nord-ovest,Lombardia,BS
Iseo,Nord-ovest,Lombardia,BS
Isorella,Nord-ovest,Lombardia,BS
Lavenone,Nord-ovest,Lombardia,BS
Leno,Nord-ovest,Lombardia,BS
Limone sul Garda,Nord-ovest,Lombardia,BS
Lodrino,Nord-ovest,Lombardia,BS
Lograto,Nord-ovest,Lombardia,BS
Lonato del Garda,Nord-ovest,Lombardia,BS
Longhena,Nord-ovest,Lombardia,BS
Losine,Nord-ovest,Lombardia,BS
Lozio,Nord-ovest,Lombardia,BS
Lumezzane,Nord-ovest,Lombardia,BS
Maclodio,Nord-ovest,Lombardia,BS
Magasa,Nord-ovest,Lombardia,BS
Mairano,Nord-ovest,Lombardia,BS
Malegno,Nord-ovest,Lombardia,BS
Malonno,Nord-ovest,Lombardia,BS
Manerba del Garda,Nord-ovest,Lombardia,BS
Manerbio,Nord-ovest,Lombardia,BS
Marcheno,Nord-ovest,Lombardia,BS
Marmentino,Nord-ovest,Lombardia,BS
Marone,Nord-ovest,Lombardia,BS
Mazzano,Nord-ovest,Lombardia,BS
Milzano,Nord-ovest,Lombardia,BS
Moniga del Garda,Nord-ovest,Lombardia,BS
Monno,Nord-ovest,Lombardia,BS
Monte Isola,Nord-ovest,Lombardia,BS
Monticelli Brusati,Nord-ovest,Lombardia,BS
Montichiari,Nord-ovest,Lombardia,BS
Montirone,Nord-ovest,Lombardia,BS
Mura,Nord-ovest,Lombardia,BS
Muscoline,Nord-ovest,Lombardia,BS
Nave,Nord-ovest,Lombardia,BS
Niardo,Nord-ovest,Lombardia,BS
Nuvolento,Nord-ovest,Lombardia,BS
Nuvolera,Nord-ovest,Lombardia,BS
Odolo,Nord-ovest,Lombardia,BS
Offlaga,Nord-ovest,Lombardia,BS
Ome,Nord-ovest,Lombardia,BS
Ono San Pietro,Nord-ovest,Lombardia,BS
Orzinuovi,Nord-ovest,Lombardia,BS
Orzivecchi,Nord-ovest,Lombardia,BS
Ospitaletto,Nord-ovest,Lombardia,BS
Ossimo,Nord-ovest,Lombardia,BS
Padenghe sul Garda,Nord-ovest,Lombardia,BS
Paderno Franciacorta,Nord-ovest,Lombardia,BS
Paisco Loveno,Nord-ovest,Lombardia,BS
Paitone,Nord-ovest,Lombardia,BS
Palazzolo sull'Oglio,Nord-ovest,Lombardia,BS
Paratico,Nord-ovest,Lombardia,BS
Paspardo,Nord-ovest,Lombardia,BS
Passirano,Nord-ovest,Lombardia,BS
Pavone del Mella,Nord-ovest,Lombardia,BS
San Paolo,Nord-ovest,Lombardia,BS
Pertica Alta,Nord-ovest,Lombardia,BS
Pertica Bassa,Nord-ovest,Lombardia,BS
Pezzaze,Nord-ovest,Lombardia,BS
Pian Camuno,Nord-ovest,Lombardia,BS
Pisogne,Nord-ovest,Lombardia,BS
Polaveno,Nord-ovest,Lombardia,BS
Polpenazze del Garda,Nord-ovest,Lombardia,BS
Pompiano,Nord-ovest,Lombardia,BS
Poncarale,Nord-ovest,Lombardia,BS
Ponte di Legno,Nord-ovest,Lombardia,BS
Pontevico,Nord-ovest,Lombardia,BS
Pontoglio,Nord-ovest,Lombardia,BS
Pozzolengo,Nord-ovest,Lombardia,BS
Pralboino,Nord-ovest,Lombardia,BS
Preseglie,Nord-ovest,Lombardia,BS
Prevalle,Nord-ovest,Lombardia,BS
Provaglio d'Iseo,Nord-ovest,Lombardia,BS
Provaglio Val Sabbia,Nord-ovest,Lombardia,BS
Puegnago del Garda,Nord-ovest,Lombardia,BS
Quinzano d'Oglio,Nord-ovest,Lombardia,BS
Remedello,Nord-ovest,Lombardia,BS
Rezzato,Nord-ovest,Lombardia,BS
Roccafranca,Nord-ovest,Lombardia,BS
Rodengo Saiano,Nord-ovest,Lombardia,BS
Roè Volciano,Nord-ovest,Lombardia,BS
Roncadelle,Nord-ovest,Lombardia,BS
Rovato,Nord-ovest,Lombardia,BS
Rudiano,Nord-ovest,Lombardia,BS
Sabbio Chiese,Nord-ovest,Lombardia,BS
Sale Marasino,Nord-ovest,Lombardia,BS
Salò,Nord-ovest,Lombardia,BS
